,Employee Number,Annual Leave Entitlement,entitlement,days taken,difference,Excess
0,20020,24,,,,False
1,20021,18,,,,False
2,20023,24,,,,False
3,20025,24,,,,False
4,20050,24,,,,False
5,20054,21,,,,False
6,20197,24,,,,False
7,20266,24,,,,False
8,20280,12,,,,False
9,20282,12,,,,False
10,20303,24,,,,False
11,20305,12,,,,False
12,20314,21,,,,False
13,20344,21,,,,False
14,20353,18,,,,False
15,20354,18,,,,False
16,20355,18,,,,False
17,20356,18,,,,False
18,20360,18,,,,False
19,20376,18,,,,False
20,20377,18,,,,False
21,20419,12,,,,False
22,20420,18,,,,False
23,20427,24,,,,False
24,20430,18,,,,False
25,20440,12,,,,False
26,20441,18,,,,False
27,20443,24,,,,False
28,20461,24,,,,False
29,20463,24,24.0,42.5,18.5,18.5
30,20466,18,,,,False
31,20469,21,,,,False
32,20498,24,24.0,30.0,6.0,6.0
33,21205,18,,,,False
34,21364,18,,,,False
35,21372,12,12.0,12.5,0.5,0.5
36,21377,12,,,,False
37,21418,18,,,,False
38,21419,18,,,,False
39,21421,24,,,,False
40,21440,18,,,,False
41,21451,21,,,,False
42,21452,18,,,,False
43,21456,18,,,,False
44,21472,12,,,,False
45,22075,21,,,,False
46,22082,21,,,,False
47,23466,24,,,,False
48,23473,24,,,,False
49,23474,18,,,,False
50,23475,24,,,,False
51,23477,24,,,,False
52,23478,24,,,,False
53,23481,24,24.0,27.0,3.0,3.0
54,23482,24,24.0,36.0,12.0,12.0
55,23486,24,,,,False
56,23487,24,,,,False
57,23489,21,,,,False
58,23492,21,,,,False
59,23493,24,,,,False
60,23498,24,,,,False
61,23505,21,,,,False
62,23506,21,,,,False
63,23508,18,,,,False
64,23509,21,,,,False
65,23510,24,,,,False
66,23513,24,,,,False
67,23518,18,,,,False
68,23520,21,,,,False
69,23531,18,,,,False
70,23533,24,,,,False
71,23538,24,,,,False
72,23540,24,,,,False
73,23541,18,,,,False
74,23547,24,,,,False
75,23548,24,,,,False
76,23549,24,,,,False
77,23550,21,,,,False
78,23552,24,,,,False
79,23553,24,,,,False
80,23555,21,,,,False
81,23562,24,,,,False
82,23564,24,,,,False
83,23568,18,,,,False
84,23569,21,,,,False
85,23571,21,21.0,26.0,5.0,5.0
86,23572,21,,,,False
87,23573,18,,,,False
88,23580,21,,,,False
89,23583,18,,,,False
90,23584,21,,,,False
91,23586,18,,,,False
92,23597,18,,,,False
93,23599,18,,,,False
94,23602,21,,,,False
95,23617,12,,,,False
96,23646,24,,,,False
97,23649,24,,,,False
98,23655,24,,,,False
99,23659,24,,,,False
100,23666,24,,,,False
